Id,Date,ActivityHour,StepTotal,Calories,TotalIntensity,AverageIntensity
1503960366,2016-04-12,00:00:00,373,81,20,0.333333
1503960366,2016-04-12,01:00:00,160,61,8,0.133333
1503960366,2016-04-12,02:00:00,151,59,7,0.116667
1503960366,2016-04-12,03:00:00,0,47,0,0
1503960366,2016-04-12,04:00:00,0,48,0,0
1503960366,2016-04-12,05:00:00,0,48,0,0
1503960366,2016-04-12,06:00:00,0,48,0,0
1503960366,2016-04-12,07:00:00,0,47,0,0
1503960366,2016-04-12,08:00:00,250,68,13,0.216667
1503960366,2016-04-12,09:00:00,1864,141,30,0.5
1503960366,2016-04-12,10:00:00,676,99,29,0.483333
1503960366,2016-04-12,11:00:00,360,76,12,0.2
1503960366,2016-04-12,12:00:00,253,73,11,0.183333
1503960366,2016-04-12,13:00:00,221,66,6,0.1
1503960366,2016-04-12,14:00:00,1166,110,36,0.6
1503960366,2016-04-12,15:00:00,2063,151,58,0.966667
1503960366,2016-04-12,16:00:00,344,76,13,0.216667
1503960366,2016-04-12,17:00:00,489,83,16,0.266667
1503960366,2016-04-12,18:00:00,1386,124,29,0.483333
1503960366,2016-04-12,19:00:00,558,104,39,0.65
1503960366,2016-04-12,20:00:00,1733,132,41,0.683333
1503960366,2016-04-12,21:00:00,684,100,31,0.516667
1503960366,2016-04-12,22:00:00,89,65,9,0.15
1503960366,2016-04-12,23:00:00,338,81,21,0.35
1503960366,2016-04-13,12:00:00,144,69,14,0.233333
1503960366,2016-04-13,12:00:00,144,69,15,0.25
1503960366,2016-04-13,12:00:00,144,82,14,0.233333
1503960366,2016-04-13,12:00:00,144,82,15,0.25
1503960366,2016-04-13,12:00:00,486,69,14,0.233333
1503960366,2016-04-13,12:00:00,486,69,15,0.25
1503960366,2016-04-13,12:00:00,486,82,14,0.233333
1503960366,2016-04-13,12:00:00,486,82,15,0.25
1503960366,2016-04-13,01:00:00,0,48,0,0
1503960366,2016-04-13,01:00:00,0,48,10,0.166667
1503960366,2016-04-13,01:00:00,0,72,0,0
1503960366,2016-04-13,01:00:00,0,72,10,0.166667
1503960366,2016-04-13,01:00:00,302,48,0,0
1503960366,2016-04-13,01:00:00,302,48,10,0.166667
1503960366,2016-04-13,01:00:00,302,72,0,0
1503960366,2016-04-13,01:00:00,302,72,10,0.166667
